Frame	X	Y	Z
1	inf	55.53	63.44
2	inf	55.0	63.28
3	inf	54.97	63.25
4	inf	55.03	63.5
5	inf	54.7	63.56
6	inf	55.3	63.38
7	inf	55.53	63.8
8	inf	55.4	63.62
9	inf	55.44	63.66
10	inf	55.12	64.06
11	inf	55.25	63.88
12	inf	55.1	63.6
13	inf	54.7	63.44
14	inf	55.03	63.4
15	inf	55.3	63.72
16	inf	55.22	63.88
17	inf	55.28	63.78
18	inf	55.06	63.5
19	inf	55.38	63.22
20	inf	55.28	63.66
21	inf	54.9	63.22
22	inf	55.0	63.12
23	inf	55.44	63.6
24	inf	55.47	63.06
25	inf	55.5	63.3
26	inf	55.16	63.44
27	inf	55.8	63.6
28	inf	55.72	63.53
29	inf	55.66	63.6
30	inf	55.3	63.22
31	inf	55.72	63.25
32	inf	55.44	63.3
33	inf	55.7	63.2
34	inf	55.75	63.5
35	inf	55.72	63.5
36	inf	55.62	63.25
37	inf	55.56	63.38
38	inf	55.62	63.53
39	inf	55.47	63.88
40	inf	55.66	63.38
41	inf	55.84	63.28
42	inf	55.56	63.25
43	inf	55.66	63.7
44	inf	55.7	63.28
45	inf	55.3	63.4
46	inf	55.66	63.38
47	inf	55.78	63.62
48	inf	56.0	63.53
49	inf	55.7	63.6
50	inf	55.75	63.44
51	inf	55.22	63.22
52	inf	55.56	63.56
53	inf	55.56	63.38
54	inf	55.44	63.25
55	inf	55.2	63.47
56	inf	55.3	63.4
57	inf	55.56	63.44
58	inf	55.88	63.75
59	inf	55.56	63.38
60	inf	56.22	63.47
61	inf	55.84	63.62
62	inf	55.62	63.47
63	inf	55.75	63.28
64	inf	55.62	63.53
65	inf	55.47	63.1
66	inf	55.25	63.16
67	inf	55.28	63.16
68	inf	55.78	63.2
69	inf	55.3	63.47
70	inf	55.5	63.5
71	inf	55.28	63.6
72	inf	55.47	63.22
73	inf	55.9	63.2
74	inf	55.78	63.28
75	inf	55.84	63.22
76	inf	55.84	63.47
77	inf	55.84	63.47
78	inf	55.78	63.44
79	inf	56.0	63.66
80	inf	56.16	63.38
81	inf	55.7	63.53
82	inf	55.75	63.47
83	inf	55.7	63.44
84	inf	55.62	63.1
85	inf	56.0	63.16
86	inf	55.8	63.2
87	inf	56.06	63.47
88	inf	55.97	63.56
89	inf	56.22	63.6
90	inf	55.84	63.3
91	inf	55.66	63.47
92	inf	55.66	63.38
93	inf	55.56	63.44
94	inf	55.56	63.5
95	inf	55.78	63.47
96	inf	55.66	63.53
97	inf	55.66	63.53
98	inf	56.0	63.28
99	inf	55.4	63.56
100	inf	55.4	63.25
Average	inf	55.56	63.44
